Identifikationsnr|Typ av objekt|Benämning|Material|Namn-Konstnär|Konstnär-KulturNav|Namn-Konstruktör|Konstruktör-KulturNav|Namn-Konstruktör|Namn-Fotograf|Namn-Tillverkare|Namn-Tillverkare|Namn-Tillverkare|Datering-Fotografering|Datering-Produktion|Avbildade namn|Avbildade-KulturNav|Avbildade namn|Avbildade namn|Avbildade - orter|Ämnesord|Beskrivning|Motiv-ämnesord|Motiv-beskrivning|Rättigheter|Samling|Dimukode
S 3657|Föremål|Porträtt|Kartong||||||Karlsson, Anneli|||||||||||Glad sjöman, Kritpipa, Porträtt, Sjöman, Sjömansmössa, Sjömansuniformer|Ram: Förgylld|Kritpipa, Pipa, Piprökare, Porträtt, Rökande man, Sjöman, Sjömanskläder, Sjömansskjorta|Glad sjöman med kritpipa i munnen och ett vinglas i vänstra handen|Utgången skyddstid|Sjöhistoriska museet|021025899367
Fo13202A|Foto||||||||Samuelson, Dan||||1962||GOTLÄNNINGEN||||Västra Gotland|||Gotlandsbåt, Motorfartyg|GOTLÄNNINGEN anländer|Utgången skyddstid|Sjöhistoriska museet|021015582826
2010:12:1:2|Föremål|Teckning|Papper|Indebetou, Govert||||||||||1825|||||Gripsholms slott, Mariefred|||Byggnad, Slott|Gripsholms slott|Utgången skyddstid|Sjöhistoriska museet|011024781048
Fo200568|Foto||||||||Okänd fotograf||||||||||Inre hamnen, Göteborg|||G-finka, Hamn, Packhusplatsen, Vykort|Göteborg. Hamnen|Utgången skyddstid|Sjöhistoriska museet|021015756785
Fo76810|Foto||||||||Okänd fotograf/Axel Eliassons Konstförl.||||||||||Inre hamnen, Gävle|||Hamn, Vykort|Hamnen i Gävle omkring år 1930|Utgången skyddstid|Sjöhistoriska museet|021015775644
Fo12022A|Foto||||||||Okänd fotograf||||1870||||||Allmänna gränd, Stockholm|||Allmänna gränd, Djurgårdsvarvet, Hamn|Hamnområdet vid Allmänna Gränd, 1870-talets mitt|Utgången skyddstid|Sjöhistoriska museet|011015431422
1966:37|Föremål|Teckning|Papper|||||||||||Odaterad|ODEN||||||Teckning i färg|Fartygsporträtt, Hemmema, Segelfartyg, Örlogsfartyg|Hemmeman Oden akterifrån|Utgången skyddstid|Sjöhistoriska museet|011024641581
Fo179238_05DIG|Foto||||||||Karlsson, Anneli||||2011||ERIC NORDEVALL II||||Vasamuseet, Stockholm|||Eric Nordevall II, Hjulångare, Replikbygge, Ångfartyg|Hjulångaren ERIC NORDEVALL II på besök i Stockholm vid Vasamuseet|Erkännande-Dela lika|Sjöhistoriska museet|021015508625
Fo77665|Foto||||||||Okänd fotograf||||||BORE|||||||Hjulångfartyg, Sidewheeler, Sidohjulångare|Hjulångfartyget BORE av Stockholm. Trafikerade Stockholm-Lübeck 1862|Utgången skyddstid|Sjöhistoriska museet|021015775825
Fo202902|Foto||||||||Okänd fotograf||||||VOLENDAM|||||||Amerikabåt, Atlantångare, Vykort, Ångbåt, Ångfartyg|Holland-Amerika Linie Rotterdam-New York D.D. Volendam, 15434 Register Tons 25400 Tons Wasserdränmgung Van Leer Amsterdam|Utgången skyddstid|Sjöhistoriska museet|021015514532
Fo92732A|Foto||||||||Okänd fotograf||||1943|||||||||Porträtt, Båtkonstruktör|Ingenjör Arvid Laurin 1943|Utgången skyddstid|Sjöhistoriska museet|021015915782
Fo216048|Foto||||||||Okänd fotograf||||1907||WAXHOLM I||||Skeppsbrokajen, Stockholm|||Passagerarångfartyg, Skärgårdsbåt, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg, Ångfärja|Inloppet till Stockholm. Stenders förlag. Stockholm Copyright247 Imp|Utgången skyddstid|Sjöhistoriska museet|011015399749
1996:10:396:3 A|Föremål|Ritning||||Enderlein, Olle||||||||1977-10-05|OE 36|http://kulturnav.org/7c48a404-fe2d-4ebb-84bd-41b85cd96e07||||||Fritidsbåt|Inrednings ritning till OE 36|Erkännande-Dela lika|Sjöhistoriska museet|011024756537
1978:25:27|Föremål|Ritning||||Chapman, Fredrik Henrik af||||||||1789||||||||Hemmema, Örlogsfartyg|Inredning i profil och plan till hemmema|Utgången skyddstid|Sjöhistoriska museet|011024676123
1996:10:430:13|Föremål|Ritning||||Enderlein, Olle||||||||1976-11-08|OE 33|http://kulturnav.org/3b0797eb-9174-4398-93db-f3ea60c1f52a||||||Fritidsbåt, Kustkryssare|Inredningsritning till OE 33|Erkännande-Dela lika|Sjöhistoriska museet|011024756817
SR 2333|Föremål|Ritning|Ritpapper|||Ljungberg, Knut|http://kulturnav.org/f91140b5-cbe6-4dc6-bb63-b4b9abb1cc7f|||||||1918-03||||||||Fritidsbåt, Motorkryssare|Inredningsritning i profil och plan till motorkryssare|Utgången skyddstid|Sjöhistoriska museet|011024839512
1980:22:560:C|Föremål|Ritning|Väv|||Pettersson, C. G.|http://kulturnav.org/e9045c0c-9415-4627-8131-50de2cacc0d0|||||||1920-10-15||||||||Fritidsbåt, Motorkryssare|Inredningsritning i profil och planer till motorkryssare av C G Pettersson|Erkännande-Dela lika|Sjöhistoriska museet|011024694797
1980:22:964:B|Föremål|Ritning|Väv|||Pettersson, C. G.||||||||1938-01-15||||||||Fritidsbåt, Halvracermotorbåt|Inredningsritning i profil, plan och sektioner|Erkännande-Dela lika|Sjöhistoriska museet|011024701793
1974:1031-1033:1033|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||Neuendorff, Joachim||||||1774|VASAORDEN|http://kulturnav.org/1333a76d-1b5b-4c83-90ec-7b1aadfb1519|||||Originalritning i tusch, färglagd|Kunglig slup, Örlogsfartyg, Slup|Inredningsritning till Vasaorden|Utgången skyddstid|Sjöhistoriska museet|011024649033
OR 2731:4|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1779-11-02|WASA|||||||60 kanoners skepp, Örlogsfartyg, Segelfartyg|Inredningsritning, däcksplan till 60 kanoners skepp|Utgången skyddstid|Sjöhistoriska museet|011024828033
S 5311|Föremål|Fartygsporträtt||Swensson, Christian Fredrik|||||Jonson, Johan||||||HERTINA|||||Besättning, Jakt, Livbåt, Svensk flagga|Ram: Förgylld Duk i kilram|Besättning, Jakt, Livbåt, Svensk flagga|Jakt till sjöss under segel. Fartyget sett förifrån|Utgången skyddstid|Sjöhistoriska museet|011024830068
Fo202784|Foto||||||||Okänd fotograf||||||TASMAN|||||||Oceanångare, Passagerarångfartyg, Vykort|Java-Australia Line S.S.. Tasman S.S. Houtman Koninklijke Paketvaart Maatschappij (Royal Packet Nav. Co)|Utgången skyddstid|Sjöhistoriska museet|011015399772
Fo23698A|Foto||||||||Okänd fotograf||||1890||||||Södra Blasieholmshamnen, Stockholm|||Begravning, John Ericsson, Karl XII:s torg|John Ericssons lik ilandsättes vid Karl XII:s torg 16/9 1890|Utgången skyddstid|Sjöhistoriska museet|021015770479
Fo183484_033DIG|Foto||||||||Kristensson, Karolina||||2009||||||Frihamnen, Stockholm|||Frihamnen, Kaffesäckar, Lossning|Kaffesäckar lossas i Frihamnen|Erkännande-Dela lika|Sjöhistoriska museet|021015750315
O 10656|Föremål|Porträtt||Kraft, P|||||Okänd fotograf|||||1814|Lilja, Petter|||||Porträtt||1810-tal, Kapten, Medalj, Polisonger, Porträtt, Uniform|Kapten vid flottan Petter Lilja. Bröstbild, halvprofil. Målad i paraduniform. Å bröstet 2 st tapperhetsmedaljer, guld och silver|Utgången skyddstid|Sjöhistoriska museet|021025691933
Fo102625A|Foto||||||||Okänd fotograf||||||ODEN|http://kulturnav.org/6054e09c-d9b9-41cc-930c-b292c437848e|||Karlskrona|||Karlskrona, Oden, Örlogsvarv|Karlskrona Örlogsvarv. omkring 1912. De fem dockorna jämte inre svajningsrummet utpumpade. I docka nr. 2 psk Oden, nr. 3, 3:e kl. pb., nr 4, jagare (typ Magne)|Utgången skyddstid|Sjöhistoriska museet|021015915813
2007:006:44|Föremål|Sjökort|Papper||||||Karlsson, Anneli|van Keulen, Johannes||||efter 1681||||||Navigation|Handkolorerat kopparstick|Jordglob, Kors, Mytologisk figur, Segelfartyg, Sjöstrid, Spjut, Ymnighetshorn|Karta över Stilla havet. Stora delar av Nord- och Sydamerika visas och i vänstra kanten skymtar delar av Asien, bland annat Japan och Tasmanien. I nedre kanten kring kartusch syns många personer och djur. Militärer i samtida uniformer med spjut bakom sig och ett kors. En jordglob. En man som håller två ymnighetshorn. En man med spade och kläder med fjädrar. En bevingad yngling som rider på ett sjöodjur. Till havs avbildas flera segelfartyg varav några är inbegripna i sjöstrid|Utgången skyddstid|Sjöhistoriska museet|021025513711
1997:8:3|Föremål|Ritning|Blåkopia|||||||Färövik, Bernhard||||1929-11-25|Sunnfjordjakt|||||||Allmogebåt, Sunnafjordjakt|Konstruktionsritning i plan och profil med segelritning till Sunnfjordjakt|Erkännande-Dela lika|Sjöhistoriska museet|011024765055
1972:122:6:a|Föremål|Ritning||||Estlander, Gustaf||||||||Odaterad||||||||Fritidsbåt, Skärgårdskryssare 30 kvm, Skärgårdskryssare|Konstruktionsritning i plan och profil till 30 kvm skärgårdskryssare|Utgången skyddstid|Sjöhistoriska museet|011024645503
1972:122:6:f|Föremål|Ritning||||Estlander, Gustaf||||||||1929-11||||||||Fritidsbåt, Skärgårdskryssare 30 kvm, Skärgårdskryssare|Konstruktionsritning i plan och profil  till 30 kvm skärgårdskryssare|Utgången skyddstid|Sjöhistoriska museet|011024645526
OR 2627|Föremål|Ritning|Papper|||||||Chapman, Fredrik Henrik af||||1754|VESTERBOTTEN||UPSALA|UPLAND||||Galär, Örlogsfartyg|Konstruktionsritning till galär|Utgången skyddstid|Sjöhistoriska museet|011024827844
OR 1172|Föremål|Ritning|Kartong|||Chapman, Fredrik Henrik af||||||||1776-05-25|||||||Färglagd tuschritning uppfodrad på kartong|Mörsarbarkass, Örlogsfartyg, Barkass|Konstruktionsritning till mörsarbarkass|Utgången skyddstid|Sjöhistoriska museet|011024826892
OR 983|Föremål|Ritning|Väv|||Chapman, Fredrik Henrik af||Sohlberg||||||1900|GUSTAF den TREDJE||ADOLPH FREDRICK||||svart och röd tusch|Linjeskepp, Örlogsfartyg, Segelfartyg|Kopia av originalritning till Gustaf den tredje och Adolph Fredrick gjord av Jacob Hägg 1900. Originalet är från 1767 och ritat av Chapman och Sohlberg. Akterspegel, spantruta, linjeritning i plan och profil med ornamentering|Utgången skyddstid|Sjöhistoriska museet|011024828953
SB 548|Föremål|Kopparstick|Papper|Engelbrecht, Martin||||||||||Odaterad||||||Skeppsbyggeri , Varv||Skeppsbyggeri, Stapelavlöpning|Kopparstick föreställande skepp som löper av stapeln. I bakgrunden byggnader. I förgrunden människor som tittar på, sittande på stockar|Utgången skyddstid|Sjöhistoriska museet|011024831031
Fo81965A|Foto||||||||Okänd fotograf||||||LISTER|||||||Lastångfartyg, Ångfartyg|Lastångfartyget LISTER av Sölvesborg. Minsprängd den 16 dec. 1940|Utgången skyddstid|Sjöhistoriska museet|021015776969
Fo82080A|Foto||||||||Repro||||||MAGNE|||||||Lastångfartyg, Ångfartyg|Lastångfartyget MAGNE av Stockholm|Utgången skyddstid|Sjöhistoriska museet|021015777258
Fo54732C,A|Foto||||||||Okänd fotograf||||||STUREBORG|||||||Lastångfartyg, Vykort, Ångfartyg|Lastångfartyget STUREBORG av Landskrona|Utgången skyddstid|Sjöhistoriska museet|021015773164
1974:386:a|Föremål|Ritning||||Herlin, Tore|http://kulturnav.org/bb8c594a-7d32-4f00-ad79-f6bd2d6dc5e4||||||||SARDANA VI|||||||10 m ÖR-jakt, Fritidsbåt, Havskryssare, Segelbåt|Linjer & spantruta till 10 m ÖR-jakt Sardana VI|Erkännande-Dela lika|Sjöhistoriska museet|011024649907
SU 1950:35:a|Föremål|Ritning|Väv|||||||||||1951|ADALIA av Länna|||||||Allmogebåt, Roslagsskuta, Vedjakt|Linjer, Sido- och ändvyer till Adalia av Länna|Erkännande-Dela lika|Sjöhistoriska museet|011024849211
OR 2480:1|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1796-09-07||||||||Fritidsbåt, Speljakt|Linjeritning till speljakt|Utgången skyddstid|Sjöhistoriska museet|011024827521
SR 2959|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||||||||||Galeas, Handelsfartyg|Linjeritning av tre fartyg i profil med spantruta|Utgången skyddstid|Sjöhistoriska museet|021025915963
1987:11:20:A|Föremål|Ritning||||||||||||1925||||||||Internationell R-jakt, Skolfartyg, Fritidsbåt|Linjeritning och spant till r-jakt|Erkännande-Dela lika|Sjöhistoriska museet|011024710212
OR 1028|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1770-09-08||||||||Barkass, Örlogsfartyg|Linjeritning till barkass för Örlogsfartyg|Utgången skyddstid|Sjöhistoriska museet|011024826813
1975:697:a|Föremål|Ritning|Papper|||Tiedemann, Stig|http://kulturnav.org/89918ac6-882a-4aab-bf18-aee977f8dd3f|||||||1949-10-07|P 510|||||||Campingbåt, Fritidsbåt, Utombordsmotorbåt|Linjeritning till campingbåt|Erkännande-Dela lika|Sjöhistoriska museet|011024661459
1975:1466:a|Föremål|Ritning||||Östlund, Ruben||||||||1967||||||||Campingbåt, Fritidsbåt|Linjeritning till Campingbåt. Skala 1:10|Erkännande-Dela lika|Sjöhistoriska museet|011024658558
1979:1:20:1|Föremål|Ritning|Väv|||Thorell, Sven|http://kulturnav.org/56d1fd34-461f-449f-bc47-b23f9afd18c1|||||||1947|KOLIBRI|||||||C-kanot, Fritidsbåt, Kanot|Linjeritning till c-kanot|Erkännande-Dela lika|Sjöhistoriska museet|011024677475
OR 2503|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1772-04-04|||||||Tuschritning på tunt brunt papper|Handelsfartyg, Snau, Snaw-brigg, Segelfartyg|Linjeritning till Snaw-brigg om 100 läster|Utgången skyddstid|Sjöhistoriska museet|011024827576
OR 8719:1|Föremål|Ritning|Papper|||Siöbohm||||||||1820-07-28|YNGVE FREY||||||Tjockt ritpapper|Handelsfartyg, Hjulångare, Ångfartyg|Linjeritning, långskeppssektion och sektion av spant till hjulångaren Yngve Frey|Utgången skyddstid|Sjöhistoriska museet|011024828900
1996:14:192:2|Föremål|Ritning||||Lawner, Pelle|http://kulturnav.org/9f02cc47-fe7a-49f5-9227-1168d240fb7b||||||||E-Lita|||||||E-kanot, Fritidsbåt|Linjeritning, spantruta, profil till E-kanot|Erkännande-Dela lika|Sjöhistoriska museet|011024758327
Fo57740A|Foto||||||||Okänd fotograf||||||WARUN|||||||Lastmotorfartyg, Vykort, Lastfartyg|M/f WARUN. Stockholms Rederi A.B. Svea|Utgången skyddstid|Sjöhistoriska museet|021015773416
S 6279|Föremål|Porträtt|||||||Okänd fotograf||||||Elfstrand, Per D:son|||||Porträtt|Duk i kilram|Bonjour, Halskrås, Man, Polisonger, Porträtt, Väst|Mansporträtt, Per Elfstrand D:son (född 1783, död 1845). Med pannlockar och polisonger. Iklädd bonjour, vit väst, halskrås med vit rosett, ståndkrage|Utgången skyddstid|Sjöhistoriska museet|021025899172
ID 345.1|Föremål|Marinmotiv|Duk|Molander, Anton|||||Jonson, Johan||||||||||Saint-Barthélemy|Koloni, Saint Barthélemy||Berg, Gustav III:s batteri, Kust, Kvinna, Saint Barthélemy, Sandstrand, Trappa, Tretungad, Unionsflagga, Vik, Västindien, Växter|Motiv från batteriet Gustav III|Utgången skyddstid|Sjöhistoriska museet|011024790141
ID 345.2|Föremål|Marinmotiv||Molander, Anton|||||Jonson, Johan||||||||||Saint-Barthélemy|Saint Barthélemy||Berg, Gustav III:s batteri, Gustavia, Hus, Koloni, Kvinna, Mur, Palmer, Saint Barthélemy, Svenska flaggan, Västindien, Växter|Motiv från batteriet Gustav III|Utgången skyddstid|Sjöhistoriska museet|011024790143
ID 345.3|Föremål|Marinmotiv||Molander, Anton|||||Jonson, Johan||||||||||Gustavia, Saint-Barthélemy|Saint Barthélemy||Batteri, Berg, Gustav III:s batteri, Gustavia, Hamn, Hus, Kanon, Kust, Palmer, Saint Barthélemy, Segelfartyg, Svenska flaggan, Unionsflagga, Vik, Växter|Motiv från batteriet Gustav III|Utgången skyddstid|Sjöhistoriska museet|011024790144
ID 345.4|Föremål|Marinmotiv||Molander, Anton|||||Jonson, Johan|||||1866-01-27|||||Saint-Barthélemy|Batterie, Saint Barthélemy||Batteri, Flagghissning, Gustav III:s batteri, Kanon, Kvinna, Man, Stenläggning, Svenska flaggan, Uniform, Unionsflagga|Motiv från batteriet Gustav III|Utgången skyddstid|Sjöhistoriska museet|011024790146
O 10037|Föremål|Fartygsporträtt||Hägg, Jacob|||||Jonson, Johan|||||1908|SAGA|http://kulturnav.org/0f1461ed-6342-46ef-ba27-478b0d014542|FYLGIA|||Korvett, Pansarkryssare|Insatt i en förgylld, rikt ornamenterad ram|Korvett, Pansarkryssare, Ångfartyg, Öppen sjö|Målning av J. Hägg 1908 föreställande H.M. pansarkryssare Fylgia mötande H.M. korvetten Saga i öppen sjö|Utgången skyddstid|Sjöhistoriska museet|011024826241
Fo202910|Foto||||||||Okänd fotograf||||||WALMER CASTLE|||||||Passagerarångare, Vykort, Ångfartyg|Nautical Photo Agency 8 Russel Grove, Mill Hill, N.W.J|Utgången skyddstid|Sjöhistoriska museet|021015514539
1978:31:5|Föremål|Lavering|Papper|Hägg, Jacob||||||||||1910|ELEFANTEN|||||Krig, Sjöslag, Sjöslaget vid Hangö udd juli 1714, Sjöstrid, Stora nordiska kriget|Lavering|Elefant, Galär, Sjöslag, Sjöstrid, Örlogsfartyg|Nils Ehrenskölds strid vid Hangö udd den 27 juli 1714. Skottpråmen Elefanten omringas av ryska galärer|Utgången skyddstid|Sjöhistoriska museet|011024774798
SB 16|Föremål|Teckning|Papper|Nordling, Adolf||||||||||Odaterad|||||||Akvarell|Allmogebåt, Fjordbåt, Segelbåt|Norsk fjordbåt|Utgången skyddstid|Sjöhistoriska museet|011024830861
Fo216121|Foto||||||||Okänd fotograf||||1912||||||Strandvägskajen, Stockholm|||Kapprodd, Olympiatävling, Strandvägen, Vykort|Olympiska spelen I Stockholm 1912 Officiela Brefkort Granbergs Konstindustri-Aktiebolag Förlag, Stockholm|Utgången skyddstid|Sjöhistoriska museet|021015766784
OR 2731:3|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1796-11-07|WASA|||||||60 kanoners skepp, Örlogsfartyg|Ombyggnadsritning till 60 kanoners skepp|Utgången skyddstid|Sjöhistoriska museet|011024828032
OR 2599:1|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1775|BRYNHILDA|||||||Pojama, Örlogsfartyg|Originalritning till pojama Brynhilda|Utgången skyddstid|Sjöhistoriska museet|011024827788
SB 1396|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad||||||||Handelsfartyg, Ostindiefarare|Ornamentering, akterspegel. Ostindiefarare om 460 svåra läster|Utgången skyddstid|Sjöhistoriska museet|011024830816
Fo17441A|Foto||||||||Okänd fotograf||||1918||||||Oskarshamn|||Anläggningsarbete, Varv|Oskarshamns varv. Kopparverkstaden och slipen under byggnad 1918|Utgången skyddstid|Sjöhistoriska museet|011015432501
Fo47176|Foto||||||||Okänd fotograf||||1964||CENTAUR|||||||Lastmotorfartyg, Passagerarfartyg|Passagerar- & lastmotorfartyget CENTAUR byggd vid John Brown & Co (Clydebank) Ltd för räkning Blue Funnel Line, Liverpool. Med en genomsnittlig fart av 20 knop kommer hon att befordra passagerare och en mångfald av laster samt boskap mellan Australien och Malaysia|Utgången skyddstid|Sjöhistoriska museet|021015708603
Fo9208A|Foto||||||||Hansen & Pedersen||||1960||ORANGE MOON||||Köpenhamn, Danmark|||Passagerarfartyg, Passagerarmotorfartyg|Passagerarmotorfartyget Orange Moon. Foto från Köpenhamn år 1960|Utgången skyddstid|Sjöhistoriska museet|011015400990
Fo80512A|Foto||||||||Halldin, Oscar||||1907||BALTZAR VON PLATEN||||Bergs slussar, Göta kanal|||Kanalfartyg, Passagerarfartyg, Ångfartyg|Passagerarångfartyget BALTZAR von PLATEN av Stockholm. Fartyget i Göta Kanal vid Bergs slussar, år 1907|Utgången skyddstid|Sjöhistoriska museet|011015400684
1991:15:012:1|Föremål|Ritning|Väv|||Jacobsen, W.||Modin, Frans||||||1898-09-02|WAXHOLM I|||||||Handelsfartyg, Passagerarångfartyg|Plan och profil till Waxholm I|Utgången skyddstid|Sjöhistoriska museet|011024754222
SR 2213:1|Föremål|Ritning|Kalkerpapper|||||||||||||||||||Fritidsbåt, Plymsnäcka|Plymsnäcka. Profil med segel samt plan med inredning|Erkännande-Dela lika|Sjöhistoriska museet|011024839068
O 04308|Föremål|Porträtt||Ekblom|||||Lilja, Andreas|||||1937|Bjelkenstjerna, Clas|||||30-åriga kriget, Amiral, Bjelkenstjerna, Clas|Kopia|Amiral, Porträtt, Porträttmålning|Porträtt av Clas Bjelkenstjerna, amiral född 1615 död 1662|Utgången skyddstid|Sjöhistoriska museet|011024824170
O 08141|Föremål|Porträtt||Hjelm, Fanny|||||Okänd fotograf|||||1904|Lindvall, Carl|||||Porträtt||Glasögon, Ingenjör, Man, Porträtt, Porträttmålning, Ståkrage|Porträtt av ingenjör C. A. Lindvall|Utgången skyddstid|Sjöhistoriska museet|021025915834
1974:1031-1033:1031|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||Neuendorff, Joachim||||||1774|VASAORDEN|http://kulturnav.org/1333a76d-1b5b-4c83-90ec-7b1aadfb1519|||||Originalritning i tusch, färglagd|Slup, Örlogsfartyg|Profil av kungaslupen Amphion och plan av taket till salen|Utgången skyddstid|Sjöhistoriska museet|011024649024
SR 2486|Föremål|Ritning||||Ekbom||||||||1799||||||||Galeas, Handelsfartyg|Profil med rigg till galeas|Utgången skyddstid|Sjöhistoriska museet|011024840080
1996:10:347:27|Föremål|Ritning||||Enderlein, Olle||||||||1976|MISIL II|http://kulturnav.org/44b5e1af-a8e8-4bb3-bcb2-32281ab11169||||||Fritidsbåt, Havskryssare|Profil och plan, Misil II|Erkännande-Dela lika|Sjöhistoriska museet|011024756188
1976:25:16:a|Föremål|Ritning|Papper|||Laurin, Arvid||||||||1940||||||||Fritidsbåt, Koster, Laurinkoster|Profil- plan- och koordinatsystem för utslag till Laurinkoster|Erkännande-Dela lika|Sjöhistoriska museet|011024663916
1978:25:43|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1778-11-20|ATIS||CAMILLA|||||Advicebåt, Jakt, Örlogsfartyg|Profil, linjer, spantruta till advicebåt|Utgången skyddstid|Sjöhistoriska museet|011024676345
SR 2418:1|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||1862-12-19||||||||Brigg, Handelsfartyg|Profil, plan med linjer och spantruta till brigg|Utgången skyddstid|Sjöhistoriska museet|011024839859
SR 2417:1|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||||||||||Barkskepp, Handelsfartyg|Profil, plan med linjer till barkskepp|Utgången skyddstid|Sjöhistoriska museet|011024839827
OR 2648|Föremål|Ritning|Kartong|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1797-11-24|DRAKEN||||||Tusch uppfodrad på kartong|Drake, Fritidsbåt, Lustbåt, Roddslup|Profil, plan, spantsektioner till lustjakten Draken|Utgången skyddstid|Sjöhistoriska museet|011024827888
OR 3000:1|Föremål|Ritning|tuschritning, kartong|||Chapman, Fredrik Henrik af||||||||1797-04-25||||||Skeppsbyggeri|Diagram och text i tusch uppfodrad på kartong|Linjeskepp, Örlogsfartyg|Projekt till arbetsplan för 23 linjeskepp 1798-1833|Utgången skyddstid|Sjöhistoriska museet|011024828381
OR 2643|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1769-03-02||||||||Pråm, Örlogsfartyg|Pråmritning|Utgången skyddstid|Sjöhistoriska museet|011024827878
Fo210178|Foto||||||||Okänd fotograf||||||DOMINION MONARCH|||||||Passagerarfartyg, Passagerarmotorfartyg, Vykort|Q.S.M.V. 'DOMINION MONARCH' 26,500 tons|Utgången skyddstid|Sjöhistoriska museet|011015400861
S 4911|Föremål|Fartygsporträtt|I vit passepartout under glas||||||Karlsson, Anneli|||||||||||Fyr, Kutter, Rakstävad svartmålad kutter, Segelkutter, Tävlingsbåt|Akvarell under glas. Ram: Svart|Fartygsporträtt, Ksss-flagga, Kutter, Tretungad, Unionsflagga, Flagga|Rakstävad, svartmålad, kutter visande styrbords sida och förande tretungad KSSS flagga med unionsmärke|Utgången skyddstid|Sjöhistoriska museet|021025887587
1978:25:45|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1789-11-15||||||||Rekognoserfartyg, Örlogsfartyg|Rekognoserfartyg för Arméns flotta. Spantruta och linjer|Utgången skyddstid|Sjöhistoriska museet|011024676371
S 6140|Föremål|Fartygsmodell|Oxelträ||||||Karlsson, Anneli|Åkerlund, Harald||||1954|SUTTON-HOOSKEPPET|||||Arkeologiskt fynd, Gravskepp, Rekonstruktion, Rekonstruktion av roddskepp efter arkeologiskt fynd, Roddbåt|Fartygsmodell av oxelträ. Skrov utfört i två halvor med limfog genom köl och stävar||Rekonstruktion av "Sutton-Hooskeppet, utgrävd 1939|Erkännande-Dela lika|Sjöhistoriska museet|021025738651
SU 1950:35:d|Föremål|Ritning|Väv|||||||||||1951|ADALIA av Länna|||||||Allmogebåt, Roslagsskuta, Segelfartyg, Handelsfartyg|Rekonstruktion av Adalia av Länna, äldre utseendet. Segelritning|Erkännande-Dela lika|Sjöhistoriska museet|011024849215
1976:25:13:b|Föremål|Ritning|Papper|||Kumlien, Bengt||Laurin, Arvid||||||1948|||||||kopia|Fritidsbåt, Koster, Laurinkoster|Rigg- och segelritning till Laurinkoster|Erkännande-Dela lika|Sjöhistoriska museet|011024663805
1976:25:16:e|Föremål|Ritning|Papper|||Laurin, Arvid||||||||1940||||||||Fritidsbåt, Koster, Laurinkoster|Rigg- och segelritning till Laurinkoster|Erkännande-Dela lika|Sjöhistoriska museet|011024663955
1967:17:214:1|Föremål|Ritning||||Smith, Carl|http://kulturnav.org/f7888381-7704-449d-bd7f-6337e823ebf5|||||||||||||||Fritidsbåt, Snipa|Rigg och sektionsritningar till snipa|Utgången skyddstid|Sjöhistoriska museet|011024642111
1963:10:21|Föremål|Ritning|Väv|||||||||||odaterad||||||||Barkass, Handelsfartyg, Launch, Storbåt|Riggritning till barkass|Erkännande-Dela lika|Sjöhistoriska museet|011024641225
1978:25:33|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1802-09-05||||||||Däckad kanonslup, Örlogsfartyg|Ritning till däckad kanonslup, 1802. Planritning|Utgången skyddstid|Sjöhistoriska museet|011024676185
1978:25:32|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1802-09-05||||||||Däckad kanonslup, Örlogsfartyg|Ritning till däckad kanonslup. Spantruta, sektioner|Utgången skyddstid|Sjöhistoriska museet|011024676176
OR 2279|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1783-09-02|||||Mönster- och modellsalsbyggnaden, Karlskrona örlogsvarv, Karlskrona||Färglagd tuschritning|Modellkammare, Byggnad|Ritning till mönstersalen i Karlskrona|Utgången skyddstid|Sjöhistoriska museet|011024827033
OR 3077|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||||||||Vapen||Lavett|Ritning till senare modell av 36-pundig coursier-lavett|Utgången skyddstid|Sjöhistoriska museet|011024828554
OR 3068-3069|Föremål|Ritning|Papper|||||||||||1759||||||Kanon, Krig, Vapen|tuschritning, approb. 1759|Kanon, Sjökanon, Örlogsfartyg|Ritning till Sjökanoner, 18 och 24 pund. Profilritningar|Utgången skyddstid|Sjöhistoriska museet|011024828539
